stemming,sentiment_score,sentiment
hasil kerja presiden joko widodo lama 10 tahun hasil bangun ikn hasil kerja anus basendiriedan 20172022 hasil jadi jakarta kota mesum kota anggur besar kota cuaca paling buruk kota paling ras jumlah demonstran,0.0,netral
presiden jokowi boyong sohor ibu kota nusantara ikn coba moles citra buruk ikn apa laku jokowi ingat pada dongeng hans charistian andersen raja telanjang,0.0,netral
polri komitmen terus awal bijak dukung pembangunanan wilayah kawasan ibu kota nusantara ikn ini pasti pembangunanan laksana tepat waktu wujud indonesia emas 2045 wujud generasi emas,0.0,netral
benar ibu kota nusantara ikn rakyat yusuf aziz,0.0,netral
ibu kota nusantara ikn rancang delapan prinsip utama jadi dasar pembangunanan tuju buah kota dunia semua salah satu prinsip utama desain sesuai kondisi alam,0.0,netral
hak usaha hgu ibu kota nusantara ikn obral 190 tahun tujuh turun masih lebih lama sekarang perintah obraandabral lahan untuk tarik investasi asing tidak perintah obral hak atas tanah investor asing,0.7003,positif
bila niat kalian ejek istana garuda ikn kalian bukan cuma ejek kalian ejek seniman nyoman nuarta rupa maestro seni patung andaandasan institut teknoandagi bandung itb beliau hasil integrasi nilainilai andahur,0.0,netral
perintah baru henti pembangunanan ibu kota nusantara ikn jadi kota hantu masa depan simak opini majalah tempo lengkap link ig story dukung jurnalisme independen tempo kalauik,0.0,netral
hari cipta momen sejarah pertama kali bendera duplikat sang merah putih teks prokalauamasi arak monas ibu kota nusantara ikn kirab adalah bagi ingat hari ulang tahun ke79 merdeka ri bagai elemen masyarakat libat masuk 180,0.0,netral
istana garuda ibu kota nusantara ikn nusantara kritik warganet rupa kelelawar cenderung timbul kesan suram i nyoman nuarta arsitek rancang desain istana garuda ikn,0.0,netral
pasti bangga sis n bro bisa punya ibu kota benerbener bangun nol hati penuh tekad besar masa depan indonesia ikn kelak jadi simbol bangga nasional cermin identitas kuat maju bangsa indonesia,0.0,netral
,,netral
tuju ibu kota pindah ikn ni biar susah demo kali,0.0,netral
kemarin bilang ikn 2 bulan spt jakarta arti aku bhw jakarta sbg role model pembangunanan sekarang bilang jakarta gak kayak jakarta sebeandamnya ari akang jalmi atawa keresek,0.0,netral
jokowi gagal paksa bandara ikn guna hadir serta upacara 17 agustus jakarta menteri pupr basuki hadimulyo serah gak ikut mau ambisi jokowi yang satu memang tidak semua bisa penuh,0.0,netral
otorita ibu kota nusantara ikn siap 60 aparatur sipil nusantara asn bagi alam kerja alam hidup lama nusantara asn yang tinggal ikn tidak milik ragu kkn undip diponegoro kaskus pertalite jay idzes shella thailand,0.0,netral
stlh ambisi jokowi upacara ikn selesai apa hasil 1 habis anggar rp 72 trilyun 2 habis anggar upacara rp 83 milyar 3 gedung garuda hitam tunduk 4 gelar istana nusantara jakarta bogor koandanial 5 gelar jakarta sbg kota feodal kok pulang,0.0,netral
jakarta streets have andang been used to contest amp challenge state power 74 98 2012 24 the symbolic amp political impact of demonstrations incandading yesterday will be greatly diminished however once national government moves to nusantara a city designed byfor the powerful,0.4767,positif
actually the ikn istana nusantara is a perfect encapasarulation of todays indonesia its tacky doesnt reflect the will of the people and poorly made due to corruption and nepotism also the negative space makes it andaok like a butt pooping where the president is supposed to be,0.3612,positif
hari saya kukuh 76 ajar jadi anggota pasu kibar bendera pusaka paskibraka tahun 2024 istana nusantara ibu kota nusantara ikn 76 ajar 38 provinsi akan tugas kibar bendera sang merah putih pertama kali ibu kota baru,0.0,netral
istana jakarta baubau koandanial kalau pribahasa sunda dipoyok dilebok hampir 10 thn sana istana di ikn baubau kroni koncoisme koandanial waris istana bebas dr utang ikn waris utang akan tanggung bangsa indonesia ratus tahun,0.0,netral
berangkat kalimantan timur pimpin apel hormat renung suci ikn malam sama ibu iriana joko widodo panglima tni kapolri menteri kait giat akan laksana taman kusuma bangsa esok hari akan hadir upacara,0.0,netral
turun bendera sang merah putih istana nusantara ikn istana merdeka jakarta tutup rangkai ingat hari merdeka ke79 ri upacara langsung lancar dua andakasi saya yakin semangat merdeka asa seandaruh peandasok negeri merdeka foto muchlis,0.0,netral
bung karno bung hatta ikn taman kusuma bangsa bangun bentuk hormat atas juang panjang pahlawan merdeka bukan memorial park taman juga fungsi ruang publik monumen monumen,0.0,netral
nusantara baru indonesia maju tanda awal tiga transisi besar indonesia sambut ibu kota baru ganti pimpin siap tuju indonesia emas 2045 hari untuk pertama kali sejarah upacara ingat detikdetik prokalauamasi rangka hari ulang tahun,0.0,netral
kakorlantas polri irjen pol dr drs aan suhanan laku kece kesiap personel kendara rangka aman jelang raya hari ulang tahun ke79 republik indonesia ibu kota nusantara ikn kalimantan timur banyak 898 personel,0.0,netral
hari saya resmi taman kusuma bangsa ikn hormat para pahlawan utama bung karno bung hatta taman adalah bagi penting kawasan beranda nusantara lengkap sayap lindung tiang bendera tiang bendera setinggi 79,0.0,netral
uji coba landas pacu bandara ibu kota nusantara ikn nusantara laku menteri hubung minggu 25 agustus 2024 uji coba lepas landas darat laku guna pesawat kalibrasi jenis king air tipe 200 pk cao uji coba jalan muandas lancar,0.0,netral
ibu kota nusantara lanjut ramah lingkung,0.0,netral
pindah jakarta hindar banjir eh tau ikn kalimantan kena banjir detik banjir dahsyat sapu kota sangga ikn kalimantan timur,0.0,netral
pertama kali kunjung ikn rasa andaar biasa udara sejuk pandang indah bangunanan konsep forest city tambah keren kota,0.0,netral
punya jiwa patriotisme justru bangga dg istana jakarta bogor lambang hasil usir jajah ikn balik usir rakyat sendiri bangun utang serah tanah ikn asing lama 190 tahun,0.0,netral
merdeka kita nikmat hari tak lepas jasa pahlawan apel hormat renung suci ikn beri hormat setinggitingginya atas korban tuandas suci demi nusa bangsa doa syukur hormat sembah,-0.5106,negatif
proses pembangunanan bandara ibu kota nusantara ikn terus kebut laku lancar pindah sekaligus rencana presiden joko widodo jokowi kantor proyek nila rp 466 triliun sebut yanti ini beneran peandak aulia anies ritsuki,0.0,netral
apresiasi desain sendiriissbelhotel nusantara selaras visi ikn forest city hotel milik 197 kamar jadwal selesai 15 bulan sendiriissbelhotel nusantara akan jadi salah satu ikon inap ikn dukung konsep,0.0,netral
hari letak batu pertama pembangunanan bank central asia bacaa ikn investasi tunjuk percaya bacaa ikn rupa investasi potensial saya ajak investor negeri untuk turut bangun ikn perintah komitmen,0.0,netral
ini lapang upacara ibu kota nusantara ikn letak najam paser utara kalimantan timur tahun 2024 jadi pertama kali jadi saksi raya hari ulang tahun merdeka republik indonesia ke79,0.0,netral
pagi saya sama jumlah menteri unjung embung ikn nikmat udara pagi bersih indeks kualitas udara ikn ada angka 6 50 tunjuk kualitas udara sangat baik juga unjung area sumbu bangsa simbol satu,0.0,netral
salah satu moda transportasi baru ramah lingkung ikn autonomous rail transit art trem otonom nusantara trem rupa bagi komitmen perintah terap transportasi bas energi hijau ikn trem bisa operasi siap,0.0,netral
jokowi bilang beandam siap alih ibu kota jakarta ikn pindah rumah ribet jangan gampang,0.0,netral
mewah tak jalan ampas merdeka masyarakat reporter fiona wiputri lapor najam paser utara kalimantan timur sabtu 1782024 andakasi tak jauh ibu kota nusantara ikn hari,0.0,netral
biaya pesawat ikn sd 16 juta terima kasih mukidov el bansos atas ide pindah ibukota duduk asli ikut rasa,0.0,netral
pembangunanan bandara vvip ibu kota nusantara landas pacu panjang 3000 meter terus kebut target selesai akhir tahun 2024 dapat berita tarik lain via whatsapp folandaw whatsapp channel liputan6 sini,0.0,netral
perintah laku jumlah giat ibu kota nusantara ikn september 2024 mulai laksana groundbreaking leta baru pertama ke8 proyek investor ikn sule tina toon hani blackberry gemini ahok mega anies,0.0,netral
patroli laku personel polda kaltim ibu kota nusantara ikn libat awas jaga ketat pasti aman tertib perhati bagai aspek mulai infrastruktur hingga potensi ganggu,0.0,netral
jokowi sebut ikn kanvas ukir masa depan tak semua nusantara mampu bangun ibu kota nol,0.0,netral
ikn tidak hubung perata kurang jawasentrisme ikn pindah andakasi sentral nkri jakarta buah komplek properti gedung kantor najam paser utara obrol merdeka,0.0,netral
electrizen pln sukses hadir pasok listrik andal hijau tanpa kedip panjang gelar upacara hari ulang tahun ke79 merdeka republik indonesia ibu kota nusantara,0.0,netral
menteri pupr henti seandaruh kunjung kawasan inti pusat perintah kipp ibu kota nusantara ikn lama minggu dapat berita tarik lain via whatsapp folandaw whatsapp channel liputan6 sini,0.0,netral
pembangunanan nusantara international convention center and hotel royal golden eagle rge ikn sangat penting sedia fasilitas ikn utama jelang ingat hari ulang tahun ke79 merdeka ri jumlah tamu undang ingat hari ulang tahun ri ke79 ikn jumlah 1300,0.0,netral
spanduk merah tulis indonesia is not for sale merdeka bentang jembatan pulau balang najam paser utara kalimantan timur sabtu 1782024 rupa aksi laku masyarakat gabung koalisi tanah rakyat sekitar teandak balikpapan,0.0,netral
tambang ilegal biar warga sekitar tambang makin miskin ibu kota nusantara ikn jaja investor juga laku lemah kpk 2019 tambah kasus korupasari makin rajalela korporasi beri karpet merah tambang pasir laut 28 provinsi,0.0,netral
pusat belanja ibu kota nusantara ikn spil sini,0.0,netral
keppres ikn nusantara beandam terbit jakarta tetap ibu kota nusantara,0.0,netral
perintah tegas kualitas hidup warga ibu kota nusantara ikn kota cerdas bas teknoandagi digital bakal tingkat,0.0,netral
bulan depan presiden jokowi mulai ngantor ibu kota nusantara ikn ini pasti bandara semua infrastruktur ikn operasi baik,0.0,netral
apresiasi investasi pt intiland bangun proyek besar grand whiz nusantara nusantara quarter royale nusantara golf resort amp residence groundbreaking rupa langkah penting kembang ikn pusat perintah baru indonesia,0.4588,positif
sbnrnya jkw puyengin paling bikin jkw overthinking tu proyek ikn sih takut mangkrak ni proyek ga sembarang makanya jkw sering ngingetin beberapa sempat gagal beberapa nusantara bangun ibukota baru kaanda baca sbgi atensi jkw,0.0,netral
sejak uu ikn sahkan harus jadi pindah ibu kota pusat perintah jokowi kantor sana hal tidak jadi dia jadi ikn bagai tempat wisata foya serta infandaencer hambur uang,0.0,netral
ikn lihat megah upacara agustus keren istana baru bebas bau koandanial ayo siapa minat hijrah ikn kata ibu kota baru hidup lebih layak lapang kerja banyak ekonomi tumbuh ayo pindah,0.0,netral
fix padaip presiden ke5 rimegawati soekarnoputritidak hadir upacaraperingatan ulang tahun merdeka ke79 republik indonesia ibu kota nusantaraikn 17 agustus 2024 megawati pimpin upacara sekolah partai padaip lenteng agung,0.0,netral
ibukota konon letak namun orang2 akan upacara merdeka sana datang rakyat andakasi larang tonton upacara langsung hanya via streaming media rakyat beandam dapat merdeka hari merdeka,0.0,netral
presiden joko widodo jokowi batal pindah ibu kota nusantara ikn september 2024 alas utama jokowi beandam pindah ikn karena beandam bangun fasilitas penting salah satu bandara,-0.2732,negatif
hari saya tinjau modul huni asn rancang modern bas teknoandagi bagi konsep smart city ibu kota baru huni akan dikeandala melaandai platform digital hasil kerja sama menteri pupr bank nusantara indonesia huni,0.4019,positif
cuma ngingetin istana garuda sana jangan habis ramerame habisin duit puandahan miliar trus tinggal ayuk rapat2 pindah istana karya anak bangsa masak betah istana koandanial,0.0,netral
kalau istana ikn bau apa pak ikn sendiri kental aroma penting oligarki bukan proyek mercusuar kerja terburuburu minggir masyarakat adat masyarakat andakal abai lestari lingkung hidup,0.0,netral
orang betul2 buta atur nyaris tak tahu apa2 nyata mas tinggal baca uu ikn pasal jelas jakarta ibukota nusantara keandaar keppres pindah ibu kota pasal 63 ampun dah,0.0,netral
sahabat sehat ikut rangkum giat dukung fasilitas sehat ibu kota nusantara republik indonesia salam sehat,0.0,netral
upacara ingat merdeka republik indonesia ke79 17 agustus 2024 selenggara ibu kota nusantara makin tegas kesiap perintah kait pindah ibu kota nusantara,0.0,netral
begitu mahal biaya harus tanggung rakyat untuk show orang kepala nusantara,0.0,netral
ibu kota nusantara ikn kalimantan timur kini punya hotel bintang lima pertama sendiriisstel nusantara hotel buka tepat hari ulang tahun indonesia 17 agustus 2024 andakasinya dekat istana presiden distrik perintah,0.0,netral
amp the ikn smart city has to be the national energy definition uu no 30 2007 ttg energi that are your strategic planners note ikn ibu kota nusantara is the new capital city of indonesia,0.3818,positif
ikn pasuk babak baru sejarah indonesia gelar upacara pertama ibu kota baru nusantara ikn rupa wujud ubah adab indonesia hadir konsep pembangunanan indonesiasentris kkn undip diponegoro kaskus pertalite jay idzes shella thailand,0.0,netral
hari minggu 268 uji coba landas pacu runway bandara ibu kota nusantara hasil laku uji coba laku menteri pupr basuki hadimuljono amp menteri hubung budi karya sumadi,0.0,netral
bandara apt pranoto dukung raya hari ulang tahun ri ke79 ibu kota nusantara lantas apa aja sih peran bandara sukses upacara merdeka selenggara pertama kali ibu kota nusantara yuk simak video sobat,0.0,netral
revisi upacara nusantara naik bendera 1782024 andakasi beandam resmi jadi ibukota nusantara beandam keppresnya jakarta ibukota nusantara resmi njur biaya boros seremoni rp 87 miliar buat apa,0.0,netral
7 agustus 2024 laanda pak menko tiba ikn ujar 79,0.0,netral
pratikno aku raya hari ulang tahun ri ke79 ikn jakarta bikin anggar bengkak,0.0,netral
rebut posisi jakarta 1 gokils tiji tibeh heboh padahal sebentar kota bukan ibukota nusantara mau you know who mbok rebut ikn 1 gitu btahu istana kog tinggal habis pestapora 87 miliar kasihan lho,0.0,netral
ikn beandam jadi ibukota resmi jakarta bukan ibukota prabowo lantik mana turut atur lantik presiden laku ibukota nusantara nyolek ngarep cerah mba bang bang,0.0,netral
perintah mungkin ira pindah ibu kota kaltim kecil dampak aksi demonstrasi masa datang jangan salah kalimantan beringas bahkan lebih ganas aksi pernah di jakarta,0.0,netral
rk pakai baju betawi ikn tunjuk kesiap maju jakarta,0.0,netral
sejarah dunia tahun 2024 ibu kota nusantara republik indonesia pindah jakarta ibu kota nusantara kalimantan timur akibat sebar bau ketek erina,0.0,netral
happy kaanda happy ada tanya 1 ikn gedung cakar langit sentra hibur semua bangun sekarang 2 bikin ikn butuh rp 71 trilyun lho ga langsung pakai buat bikin rel transportasi kota just a food for our minds,0.8126,positif
jokowi singgung istana jakartabogor ikn bau koandanial rasa tiap hari,0.0,netral
tak undang ikn sultan kuta upacara kantor bupati sama masyarakat tenggarong,0.0,netral
jakarta bukan ibukota eh maju nyagub ktapi bandung ora jelas,0.0,netral
2035,0.0,netral
lbp rasa bangga raya hari ulang tahun ri ikn karya sendiri tidak tempat waris koandanial alas hanya jadi bahan oandakoandak memang pindah ibukota meandanjakan tumbuh ekonomi entas miskin memakamurkanmensejahterakan rakyat,-0.2732,negatif
udah abisin ratus triliun buat bikin kota kata buat semua rakyat indonesia abisin ratus juta buat giat upacara sana dan sekarang emang bego bolehin warga ikut easiest political win ever buat ikn and they still fuck it up,0.4767,positif
hubung ikn jauh kata rampung amp fungsional pasti masih sulit kalau sekarang hingga ini ikn beandam resmi ibu kota nusantara,0.0,netral
siapa sih milih desain istana nusantara ikn kaya markas villain nya power ranger gin padahal desain istana one piece bagus amp cocok buat ikn,-0.5574,negatif
maulia permata putri sempat latih jadi bawa baki upacara ikn ganti beberapa jam jelang mulai,0.0,netral
ibu kota nusantara tunjuk besar bangsa indonesia cermin identitas bangsa 12,0.0,netral
pt bina karya persero meandancurkannusantara andagistics hub amp servicesdi kawasan ibu kota nusantara ikn nusantara,0.0,netral
indahanyaa sekali ibu kota nusantara istana nusantara ikn wow andaar biasa langit malam hari sangat bagus,0.5859,positif
peran penting pembangunanan ibu kota nusantara ikn dukung infrastruktur andagistik investasi wilayah sebut,0.0,netral
jelang upacara ingat hari merdeka ri ke79 17 agustus ibu kota nusantara ikn pertamina gas nusantara pgn selaku subholding gas pertamina pasti gas bumi alir siap guna,0.0,netral
presiden joko widodo jokowi rencana kantor ibu kota nusantara ikn bulan september 2024 jokowi ungkap saat diri lihat kondisi lapang kait kesiap infrastruktur ada lihat kondisi lapang memang,0.0,netral
peran penting pembangunanan ibu kota nusantara ikn dukung insfrastruktur andagistik investasi wilayah sebut,0.0,netral
mou tanda awal kerja sama strategis kembang potensi investasi sektor didik utama wilayah ibu kota nusantara ikn,0.0,netral
ppu personil satu tugas operasi nusantara mahakam polda kaltim laksana patroli kamtibmas intensif aman beberapa titik penting kawasan ibu kota nusantara ikn,0.0,netral
presiden joko widodo kabar pindah ibu kota nusantara awal bulan september plt kepala otorita ikn basuki hadimuljono nyata kantor presiden tempat tinggal presiden istana nusantara siap guna,0.0,netral
jelang upacara ingat hari merdeka ri ke79 17 agustus ibu kota nusantara ikn pertamina gas nusantara pgn pasti gas bumi alir siap guna,0.0,netral
kontribusi posind pembangunanan ibu kota nusantara ikn,0.0,netral
foto sama ibu kota nusantara ikn murid sisendiriasisendirii libur hari 17 agustus ikn sekolah sma negeri 1 andaa anda kuta kartanusantara di kalimantan timur,0.0,netral
puan kemudian beber 6 rancang undangundang rampung bahas sama perintah telah sah jadi undangundang enam uu sebut lain 1 undangundang ubah atas undangundang nomor 3 tahun 2022 ibu kota nusantara ikn 2,0.0,netral
pt wijaya karya bangunanan gedung tbk wege incar proyek baru ibu kota nusantara ikn beberapa proyek sedang kerja wege ikn segera operasi lengkap,0.0,netral
ikut provinsi indonesia serta ibu kota,0.0,netral
jokowi tunggu bandara vvip selesai baru ngantor ikn,0.0,netral
cek fakta tidak benar mulai 17 agustus 2024 ikn resmi jadi ibu kota,0.0,netral
pembangunanan ibu kota nusantara ikn libat peran banyakstakeholder masuk pt pos indonesia persero,0.0,netral
pembangunanan rumah sakit vertikal rsv ibu kota nusantara ikn capai 72 4 begini tampak bangunanannya ini gtgt foto andramatin,0.0,netral
haanda dukung pembangunanan ibu kota nusantara ikn menteri atr bpn tetap 24 paket ada tanah infrastruktur ikn laanda apa dan jauh mana progres ada tanah ikn simak lengkap video ikut sob,-0.25,negatif
jokowi kantor di ikn september akses masuk ibu kota baru tutup,0.0,netral
provinsi kalimantan timur kaltim terus kuat siap sambut pindah ibu kota nusantara ikn gelar focus group discussion fgd tajuk peran siap daerah provinsi kaltim proses pindah ibu kota nusantara,0.0,netral
electrizen pln siaga 18 unit stasiun isi kendara listrik umum spkalauu dukung guna kendara listrik ingat hari ulang tahun ke79 republik indonesia ibu kota nusantara ikn nusantara,0.0,netral
infografis skenario pindah asn pandas minus tinggal ikn nusantara,0.0,netral
proyek waskita karya ibu kota nusantara kali informasi proyek gedung menteri koordinator 3 amp 4 kemarin fungsi holding room tamu vip juga crew laksana upacara hari ulang tahun ke79 ri ikn,0.5106,positif
ikn bagaimana rasa hidup sekitar mewah megaproyek ibu kota nusantara,0.0,netral
wow megahanyaa ikn ibu kota nusantara ibukota indonesia baru buat anak asli nkri sungguh bangga kami rakyat rasa merdeka milik ibukota megah tangguh ideoandagi pancasila lambang burung garuda,0.5859,positif
hari mau sharing putar proyek waskita karya ibu kota nusantara proyek gedung menteri koordinator 3 amp 4 fungsi holding room tamu vip juga crew laksana upacara hari ulang tahun ke79 ri ikn,0.7269,positif
lagi kerja dari fotofoto bingkai warna fotogrid wallpaper gambar dari ibu kota nusantara ikn sangat indah tanggal rabu 28 agustus 2024,0.0,netral
menteri kerja umum rumah rakyat pupr sama menteri hubung tri hubung laku uji coba landas pacu bandara ibu kota nusantara ikn guna pesawat kalibrasi jenis king air tipe 200 pk cao,0.0,netral
ibu kota nusantara siap jadi kota modern,0.0,netral
menteri hubung tri hubung budi karya sumadi aku bandara ibu kota nusantara ikn kalimantan timur siap darat pesawat masuk pesawat presiden ri awal september 2024,0.0,netral
menteri pupr basuki hadimuljono aju tambah anggar pembangunanan ibu kota nusantara ikn rp20 32 triliun ini pupr baru mengaandakasikan anggar rp4 19 triliun,0.0,netral
pt pembangunanan rumah persero tbk ptapip lapor maju signifikan jumlah proyek strategis sedang langsung ibu kota nusantara ikn,0.0,netral
ikn tantang peandaang pusat perintah masa depan indonesia,0.0,netral
jadwal shalat hari tanggal 30 agustus 2024 ibu kota nusantara ikn sekitar toandang simak jadwal shalat wilayah ikn kalimantan timur sekitar rangkum laman bimas menteri agama kemenag,0.0,netral
menteri basuki sebut proyek ikn wujud program perata pembangunanan,0.0,netral
tidak desain ikn ibu kota nusantara provinsi kalimantan timur ini 7 karya kenal nyoman nuarta,0.0,netral
rk ibu kota nusantara jakarta butuh imajinasi definisi baru,0.0,netral
atrbpn haanda dukung pembangunanan ibu kota nusantara ikn menteri atr bpn tetap 24 paket ada tanah infrastruktur ikn laanda apa dan jauh mana progres ada tanah ikn,0.0,netral
haanda kab bantul atrbpn dukung pembangunanan ibu kota nusantara ikn menteri atr bpn tetap 24 paket ada tanah infrastruktur ikn simak lengkap video ikut sob,-0.25,negatif
ribu gedung sebar jakarta ini hadap tantang baru iring pindah pusat perintah ibu kota nusantara ikn,0.0,netral
jokowi pindah kantor ikn mulai september istana bilang gin presiden joko widodo jokowi wacana bakal pindah kantor ibu kota nusantara ikn mulai bulan september 2024 datang,0.0,netral
antusiasme abdi ibu kota nusantara ikn sangat tinggi tag ji chang wook shella ritsuki,0.0,netral
pon acehsumut jadi ajang debut jumlah atlet wilayah baru indonesia atlet ibu kota nusantara salah satu,0.0,netral
jokowi pindah kantor ikn tepat janji bukan hindar demo langkah untuk tunjuk komitmen pembangunanan ibu kota nusantara,0.0,netral
dito ariotedjo kata fasilitas pusat latih training center sepak bola ibu kota nusantara ikn mulai manfaat latih september,0.0,netral
ridwan kamilsusendiriono siap 70 gagas warga jakarta salah satu gagas bahas kena kesiap jakarta hadap pindah ibu kota nusantara ikn nyata pihak pikir soandasi gedunggedung tinggal tetap,0.0,netral
jokowi bakal kantor ikn mulai september bukti nyata infrastruktur ikn siap waktu bukti ibu kota nusantara bukan cuma proyek impi pagi sule undip airin pramono,0.0,netral
jokowi bakal kantor ikn mulai september bukti nyata infrastruktur ikn siap waktu bukti ibu kota nusantara bukan cuma proyek impi,0.0,netral
kota masa depan generasi muda harap talentatalenta pindah ibu kota nusantara ikn utama rupa digital expert mampu operasi kota ikn,0.0,netral
repost atrbpn haanda dukung pembangunanan ibu kota nusantara ikn menteri atr bpn tetap 24 paket ada tanah infrastruktur ikn laanda apa dan jauh mana progres ada tanah ikn,0.0,netral
lepas dr andakasi ikn kaltim sebenernya gemes ama design istana nusantara uang pajak habis bangunanan2 ga penting mesti buat simple efektif efisien sesuai untuk ergonomis ramah lingkung tapi gimana 1 orang ambis,0.0,netral
ikn buat perata pembangunanan they said and this is how they treat warga andakal ikn ikn perata pembangunanan ikn istana elite,0.4019,positif
kota cara resmi sudah titel ibu kota iring berpindahanyaa status sebut nusantara ada pulau kalimantan,0.0,netral
ridwan kamil pasti upacara ingat hari merdeka indonesia 17 agustus 2024 pasti bakal langsung ibu kota nusantara agustus 2024 pembangunanan tahap 1 ikn nusantara target selesai liverpool onana coach justin kaesang wangi nunez,0.0,netral
pembangunanan ibu kota nusantara ikn kalimantan timur sesuai rencana program wujud net zero emision 2045 konsep hijau ikn bantu turun emisi karbon indonesia liverpool onana coach justin kaesang wangi nunez,0.0,netral
pindah asn ibu kota nusantara ikn laku tahap mulai tahun hingga 2029 melaandai tiga prioritas total jumlah asn pindah ikn tahap sebut banyak 32937 pegawai chika mampus pada p chelsea ratu tisha heerenveen prily,0.0,netral
ikn nusantara pindah ibu kota nusantara beri dampak kurang emisi karbon kalimantan timur banyak 18 persen cara tidak langsung ubah struktur ekonomi wilayah sebut towel adu pinalti what a game kelly arkhan uzbek el kalauemer,0.0,netral
korea selatan korsel hibah satu unit instalasi olah air ipa water treatment plant ibu kota nusantara ikn nusantara,0.0,netral
pindah ibu kota indonesia ibu kota nusantara ikn tidak untuk pindah fisik pusat perintah juga bangun kota pintar smart city,0.4019,positif
otorita ibu kota nusantara oikn sebut desa wilayah camat paku kabupaten najam paser utara kalimantan timur ubah status jadi kota pasal desadesa masuk kawasan ikn nusantara,0.0,netral
presiden jokowi tunjuk menteri koordinator bidang maritim investasi menko marves andahari ulang tahun binsar pandjaitan koordinator investasi apple bangun smart city ibu kota nusantara ikn,0.4019,positif
